"Story","Title","Result","Date","Stability","Duration (s)"
"AS QA of the time zone mobile app","Test that the capture of coordinates works when the access to the cell location has been granted","FAILURE","2022-09-03T00:08:01.0605248-05:00[America/Bogota]","0.0","23.19"
"Validate login functionality in the eriBank app","As a User I want to login successful in the eriBank app","PENDING","2022-09-02T16:32:30.3396113-05:00[America/Bogota]","0.0","0.17"
"Validate login functionality in the eriBank app","As a product Owner, Juan wants to validate that a user cannot login with incorrect access data","SUCCESS","2022-09-03T23:22:05.5228573-05:00[America/Bogota]","0.0","21.71"
"Validate login functionality in the eriBank app","As a User Juan wants to login successful in the eriBank app","SUCCESS","2022-09-05T12:11:23.6074107-05:00[America/Bogota]","0.0","22.89"
"Validate login functionality in the eriBank app","As a User Juan wants to login successful in the exito app","ERROR","2022-09-06T11:11:27.8495564-05:00[America/Bogota]","0.0","0.34"
"Validate login functionality in the eriBank app","As a User, Juan wants to login successful in the exito app","ERROR","2022-09-06T11:23:56.9193057-05:00[America/Bogota]","0.0","0.38"
"Validate login functionality in the exito app","As a User, Juan wants to login successful in the exito app","ERROR","2022-09-20T16:03:20.0823868-05:00[America/Bogota]","0.0","18.09"
"validate send payment functionality on the eriBank application","As a user Juan wants to make a payment successfully on the eriBank application","PENDING","2022-09-04T21:04:28.0203622-05:00[America/Bogota]","0.0","0.18"
"validate send payment functionality on the eriBank application","As a user Carlos wants to make a payment successfully on the eriBank application","PENDING","2022-09-05T13:48:52.4961406-05:00[America/Bogota]","0.0","21.99"
"validate send payment functionality on the eriBank application","As a user Juan wants to make a payment successfully on the exito application","SUCCESS","2022-09-20T16:09:25.0493061-05:00[America/Bogota]","0.0","44.46"
"Validate that the exito application allows to the users to make a purchases successfully","as a user Juan wants to make a purchase of a tv on the exito app","SUCCESS","2022-09-13T12:58:03.5381184-05:00[America/Bogota]","0.0","40.85"
"Validate select city functionality on the Exito application","As a user Juan wants to choose the delivery city for your orders","SUCCESS","2022-09-13T12:15:44.5095613-05:00[America/Bogota]","0.0","45.85"
